Wall time,Step,Value
1755629677.3777947,0,-978157.125
1755629698.3789406,1,-970264.9375
1755629719.5325603,2,-964109.8125
1755629740.8247335,3,-961434.0
1755629761.7027252,4,-959644.125
1755629782.8073664,5,-958044.3125
1755629803.752913,6,-957633.5
1755629824.6285536,7,-956617.3125
1755629845.572276,8,-956565.75
1755629866.358293,9,-956246.25
1755629887.2672288,10,-956272.125
1755629908.1547377,11,-956365.0
1755629928.9422374,12,-956166.25
1755629950.0530803,13,-956424.6875
1755629971.4177027,14,-956444.375
1755629993.1189284,15,-956489.125
1755630014.4618676,16,-956387.8125
1755630035.985966,17,-956609.875
1755630057.3151083,18,-956403.4375
1755630078.5049706,19,-956432.125
1755630099.5617566,20,-956235.5
1755630120.737619,21,-956367.5
1755630140.9891918,22,-956355.875
1755630161.8332014,23,-956583.9375
1755630183.379032,24,-956166.375
