Wall time,Step,Value
1755632197.7957766,0,-10251.2861328125
1755632218.772017,1,-8615.08984375
1755632239.7375748,2,-7368.7587890625
1755632259.9212496,3,-6496.9130859375
1755632280.117673,4,-5981.994140625
1755632300.4460106,5,-5560.03466796875
1755632320.7537637,6,-5397.43212890625
1755632341.035362,7,-5296.1845703125
1755632361.4419515,8,-5202.228515625
1755632382.0630553,9,-5145.53173828125
1755632402.5843215,10,-5104.30078125
1755632422.1436648,11,-5092.17431640625
1755632442.4684715,12,-5108.0673828125
1755632462.2706563,13,-5093.65478515625
1755632482.0805058,14,-5078.8740234375
1755632501.1741116,15,-5105.65869140625
1755632520.2688246,16,-5093.97119140625
1755632539.471513,17,-5126.2587890625
1755632558.8860176,18,-5103.703125
1755632578.3960688,19,-5114.419921875
1755632597.745367,20,-5101.94189453125
1755632617.168026,21,-5095.427734375
1755632635.5092719,22,-5107.0146484375
1755632654.373446,23,-5100.64501953125
1755632673.6421127,24,-5113.35986328125
