Wall time,Step,Value
1755685490.0352569,8759,-84928744.0
1755685510.6250372,17519,-103302392.0
1755685531.3120906,26279,-86095776.0
1755685553.3038387,35039,-58697940.0
1755685574.0324268,43799,-57885140.0
1755685594.7401793,52559,-47684688.0
1755685615.435989,61319,-44172072.0
1755685637.5112026,70079,-44142820.0
1755685658.3755796,78839,-64422176.0
1755685679.1179626,87599,-60100244.0
1755685701.1856866,96359,-58032048.0
1755685721.8284607,105119,-58175452.0
1755685742.5163405,113879,-57571936.0
1755685763.1520467,122639,-105890112.0
1755685785.0626285,131399,-158063408.0
1755685805.739544,140159,-60335752.0
1755685826.403025,148919,-49850444.0
1755685847.0638764,157679,-60910080.0
1755685869.127116,166439,-50221516.0
1755685889.8160121,175199,-44149964.0
1755685910.4600651,183959,-62996260.0
1755685932.4690661,192719,-68461624.0
1755685953.1912515,201479,-50455020.0
1755685973.760516,210239,-122538816.0
